question;chunk_id;section_name;chapter_name
Какую должность занимает Максим Каммерер в организации, обозначенной как КОМКОН–2?;037c58a8f1011d66e00e2488bd45380a;СОТРУДНИК КОМКОНА–2 МАКСИМ КАММЕРЕР;1 июня 78–го года
С какой Полярной станции на Землю отбыл Лев Вячеславович Абалкин?;037c58a8f1011d66e00e2488bd45380a;СОТРУДНИК КОМКОНА–2 МАКСИМ КАММЕРЕР;1 июня 78–го года
"Какой предмет извлек Экселенц из бокового ящика стола, который Каммерер поначалу вспомнил на хонтийском языке как ""заккурапия""?";037c58a8f1011d66e00e2488bd45380a;СОТРУДНИК КОМКОНА–2 МАКСИМ КАММЕРЕР;1 июня 78–го года
Какую инструкцию дал Экселенц Каммереру относительно его группы и отчётности по делу Абалкина?;037c58a8f1011d66e00e2488bd45380a;СОТРУДНИК КОМКОНА–2 МАКСИМ КАММЕРЕР;1 июня 78–го года
Какая надпись была вытиснута кармином на папке, переданной ЛЕВУ ВЯЧЕСЛАВОВИЧУ АБАЛКИНУ?;9a490f7a02f67db0fa4bbb9710b1e9bb;Я принял папку. С такой я...;1 июня 78–го года
Что Экселенц запретил делать с материалами, содержащимися в папке?;9a490f7a02f67db0fa4bbb9710b1e9bb;Я принял папку. С такой я...;1 июня 78–го года
Сколько времени дали на выполнение задания, связанного с ЛЕВОМ АБАЛКИНОМ?;9a490f7a02f67db0fa4bbb9710b1e9bb;Я принял папку. С такой я...;1 июня 78–го года
На какой планете, по словам Экселенца, Сикорски по прозвищу Странник гонялся за Мак?;9a490f7a02f67db0fa4bbb9710b1e9bb;Я принял папку. С такой я...;1 июня 78–го года
Какую реакцию вызвала у Андрея и Сандро переподчиненная Клавдия?;6d4f7864391ce37348f5806630431769;КОЕ–ЧТО О ЛЬВЕ АБАЛКИНЕ ПРОГРЕССОРЕ;1 июня 78–го года
Сколько сообщений накопилось в регистраторе, пока рассказчик находился у Экселенца?;6d4f7864391ce37348f5806630431769;КОЕ–ЧТО О ЛЬВЕ АБАЛКИНЕ ПРОГРЕССОРЕ;1 июня 78–го года
Что представляла собой папка, переданная Львом Абалкиным, и какое устройство использовалось для фиксации листов внутри нее?;6d4f7864391ce37348f5806630431769;КОЕ–ЧТО О ЛЬВЕ АБАЛКИНЕ ПРОГРЕССОРЕ;1 июня 78–го года
Какую информацию о Тристане Лоффенфельде передал командир базы Саракш–2?;8928ae3b09dd062ac212cde719c4bf4e;;01.06. — 13.01. СЛОН — СТРАННИКУ.
На каком боте прибыл Тристан на базу Гурон?;8928ae3b09dd062ac212cde719c4bf4e;;01.06. — 13.01. СЛОН — СТРАННИКУ.
По какой причине Гурон был вынужден покинуть базу и на каком рейсе он направился на Землю?;8928ae3b09dd062ac212cde719c4bf4e;;01.06. — 13.01. СЛОН — СТРАННИКУ.
Какие места упомянуты в справке как остановки по маршруту рейса 611?;8928ae3b09dd062ac212cde719c4bf4e;;01.06. — 13.01. СЛОН — СТРАННИКУ.
Какую задачу поручил Слону Экселенц, что заставило его подняться рано утром?;f758c02debf2f9a5998f5e5c00a7cd33;По–моему в этом сама...;01.06. — 13.01. СЛОН — СТРАННИКУ.
В каком учебном заведении получил образование Абалкин Лев Вячеславович, и кто был его наставником?;f758c02debf2f9a5998f5e5c00a7cd33;По–моему в этом сама...;01.06. — 13.01. СЛОН — СТРАННИКУ.
На каких планетах проходила дипломная практика Абалкина, и с какой расой он контактировал?;f758c02debf2f9a5998f5e5c00a7cd33;По–моему в этом сама...;01.06. — 13.01. СЛОН — СТРАННИКУ.
Какое прозвище дали Абалкину его коллеги во время экспедиции, и почему?;f758c02debf2f9a5998f5e5c00a7cd33;По–моему в этом сама...;01.06. — 13.01. СЛОН — СТРАННИКУ.
На каких планетах проходила переподготовка Льва Абалкина в период с ноября 66-го по декабрь 70-го?;d564622644bfdeca7230a2430ec264cc;Ноябрь 66–го сентябрь...;01.06. — 13.01. СЛОН — СТРАННИКУ.
Какие должности занимал Лев Абалкин на планете Саракш в период с сентября 67-го по март 71-го?;d564622644bfdeca7230a2430ec264cc;Ноябрь 66–го сентябрь...;01.06. — 13.01. СЛОН — СТРАННИКУ.
Кто из наблюдающих врачей сменял друг друга в наблюдении за Львом Абалкиным и в какой период времени работал каждый из них?;d564622644bfdeca7230a2430ec264cc;Ноябрь 66–го сентябрь...;01.06. — 13.01. СЛОН — СТРАННИКУ.
Какую школу посещал Лев Абалкин на Земле, согласно данным, полученным из запроса в БВИ?;d564622644bfdeca7230a2430ec264cc;Ноябрь 66–го сентябрь...;01.06. — 13.01. СЛОН — СТРАННИКУ.
В каком году Абалкин участвовал в операции «Мертвый мир»?;ea57e95ddf611a0af4daa623e5630a4d;ВКРАТЦЕ О СОДЕРЖАНИИ ПАПКИ;1 июня 78–го года
Какие изменения происходили с жителями планеты Надежда, согласно отчету Абалкина?;ea57e95ddf611a0af4daa623e5630a4d;ВКРАТЦЕ О СОДЕРЖАНИИ ПАПКИ;1 июня 78–го года
Какую роль играл Абалкин в операции «Мертвый мир» и какое уникальное достижение связано с его участием?;ea57e95ddf611a0af4daa623e5630a4d;ВКРАТЦЕ О СОДЕРЖАНИИ ПАПКИ;1 июня 78–го года
В каком месте Абалкин работал с представителем разумной негуманоидной расы, и кто был его партнером?;ea57e95ddf611a0af4daa623e5630a4d;ВКРАТЦЕ О СОДЕРЖАНИИ ПАПКИ;1 июня 78–го года
Какую должность занимал Лев Абалкин в операции на Гиганде?;792ee942969708533028694163c296ec;И был в папке еще один...;1 июня 78–го года
В каком жанре, по мнению рассказчика, были написаны отчеты Льва Абалкина?;792ee942969708533028694163c296ec;И был в папке еще один...;1 июня 78–го года
В каком году Абалкин направлял рапорт в КОМКОН-1, выражая недоумение по поводу сворачивания операции «Голован в Космосе»?;792ee942969708533028694163c296ec;И был в папке еще один...;1 июня 78–го года
Какие предметы, помимо писем и отчетов, содержались в папке 07 и на которых была монограмма, изображающая то ли китайского дракона, то ли птеродактиля?;792ee942969708533028694163c296ec;И был в папке еще один...;1 июня 78–го года
Какие профессиональные склонности указаны в переписке у Абалкина?;15331c0c435898389f06ccdbca6e4490;В общем эта переписка...;1 июня 78–го года
С какими существами, согласно тексту, обычно работают Прогрессоры, для которых зоопсихология является основной профессией?;15331c0c435898389f06ccdbca6e4490;В общем эта переписка...;1 июня 78–го года
"С кем автор текста планирует обсудить ситуацию с Абалкиным, считая, что в истории наблюдается ""нарушение меры""?";15331c0c435898389f06ccdbca6e4490;В общем эта переписка...;1 июня 78–го года
"В каком году группа ""Йормала"", в составе которой находились Стелла Владимировна и Вячеслав Борисович, совершила погружение в Черную Дыру ЕН 200056?";92d593a679657c5c6fdf8f8e0f74f9ea;ПОЧТИ ВСЕ О ВОЗМОЖНЫХ СВЯЗЯХ ЛЬВА АБАЛКИНА;1 июня 78–го года
Какое учебное заведение посещал Лев Абалкин, где его наставником был Эрнст–Юлий Горн?;92d593a679657c5c6fdf8f8e0f74f9ea;ПОЧТИ ВСЕ О ВОЗМОЖНЫХ СВЯЗЯХ ЛЬВА АБАЛКИНА;1 июня 78–го года
Где в настоящее время находится врач Ромуальд Крэсеску, наблюдавший за учениками школы Прогрессоров?;92d593a679657c5c6fdf8f8e0f74f9ea;ПОЧТИ ВСЕ О ВОЗМОЖНЫХ СВЯЗЯХ ЛЬВА АБАЛКИНА;1 июня 78–го года
На берегу какого озера проживает Сергей Павлович Федосеев, Учитель Льва Абалкина, и как называется его усадьба?;92d593a679657c5c6fdf8f8e0f74f9ea;ПОЧТИ ВСЕ О ВОЗМОЖНЫХ СВЯЗЯХ ЛЬВА АБАЛКИНА;1 июня 78–го года
В какой области знаний Ядвига Михайловна Леканова начала свою карьеру?;9d1a2f2cf57dfc350330fccc458a5755;А вот с Ядвигой...;1 июня 78–го года
Где в настоящее время работает Ядвига Михайловна Леканова?;9d1a2f2cf57dfc350330fccc458a5755;А вот с Ядвигой...;1 июня 78–го года
Через какой стационар предлагается устанавливать связь с Ядвигой Михайловной Лекановой?;9d1a2f2cf57dfc350330fccc458a5755;А вот с Ядвигой...;1 июня 78–го года
В каком году происходит встреча рассказчика с Сергеем Павловичем, Учителем Льва Абалкина?;83f70122d76ea48bdbb741e1797cd01f;УЧИТЕЛЬ ЛЬВА АБАЛКИНА;1 июня 78–го года
Какое учреждение направило Льва Вячеславовича Абалкина в школу Прогрессоров, несмотря на протесты Сергея Павловича?;83f70122d76ea48bdbb741e1797cd01f;УЧИТЕЛЬ ЛЬВА АБАЛКИНА;1 июня 78–го года
Что, по словам рассказчика, является предметом его исследования, в связи с которым он и обратился к Учителю Льва Абалкина?;83f70122d76ea48bdbb741e1797cd01f;УЧИТЕЛЬ ЛЬВА АБАЛКИНА;1 июня 78–го года
Каким образом рассказчик описал внешность Сергея Павловича, упомянув особенности его бровей?;83f70122d76ea48bdbb741e1797cd01f;УЧИТЕЛЬ ЛЬВА АБАЛКИНА;1 июня 78–го года
Какое увлечение, помимо соревнований и театра, особенно соло, было у Льва Абалкина?;104b8f506b01e79940279dd3f25888d6;Лев Абалкин был мальчик...;1 июня 78–го года
Какое качество Льва Абалкина, по мнению Сергея Павловича, мешало установлению контакта с ним?;104b8f506b01e79940279dd3f25888d6;Лев Абалкин был мальчик...;1 июня 78–го года
В каком месте Сергей Павлович впервые встретил Льва Абалкина, когда тот занимался своим хобби?;104b8f506b01e79940279dd3f25888d6;Лев Абалкин был мальчик...;1 июня 78–го года
Какую профессию, по словам Сергея Павловича, в итоге выбрала Майя Глумова?;104b8f506b01e79940279dd3f25888d6;Лев Абалкин был мальчик...;1 июня 78–го года
В каком году Майя Тойвовна Глумова приняла участие в операции «Ковчег»?;a966ee6d2fc541e052b7817eb1dfe151;МАЛЕНЬКИЙ ИНЦИДЕНТ С ЯДВИГОЙ МИХАЙЛОВНОЙ;1 июня 78–го года
Где в настоящее время работает Майя Глумова, согласно информации из карточки?;a966ee6d2fc541e052b7817eb1dfe151;МАЛЕНЬКИЙ ИНЦИДЕНТ С ЯДВИГОЙ МИХАЙЛОВНОЙ;1 июня 78–го года
Как описывается внешность Ядвиги Михайловны Лекановой?;a966ee6d2fc541e052b7817eb1dfe151;МАЛЕНЬКИЙ ИНЦИДЕНТ С ЯДВИГОЙ МИХАЙЛОВНОЙ;1 июня 78–го года
С какой организацией связан Максим Каммерер, помимо издательства?;a966ee6d2fc541e052b7817eb1dfe151;МАЛЕНЬКИЙ ИНЦИДЕНТ С ЯДВИГОЙ МИХАЙЛОВНОЙ;1 июня 78–го года
Какой предмет записал персонаж, именуемый Львом Абалкиным, в своем канале?;852c668097ae4df064cae9085e1bc3c4;Она все еще улыбалась и...;1 июня 78–го года
В каком городе, согласно тексту, планируется полет главного героя для проведения расследования?;852c668097ae4df064cae9085e1bc3c4;Она все еще улыбалась и...;1 июня 78–го года
Какую операцию изучал главный герой по отчету Льва Абалкина?;852c668097ae4df064cae9085e1bc3c4;Она все еще улыбалась и...;1 июня 78–го года
Кто из упомянутых персонажей, по мнению Экселенца, мог быть другом Льва Абалкина, несмотря на отсутствие информации в папке?;852c668097ae4df064cae9085e1bc3c4;Она все еще улыбалась и...;1 июня 78–го года
Какую проблему испытывает Лев Абалкин с работой своего мимикридного комбинезона?;86d2a526f833b839df430e66cbbf2910;ИЗ ОТЧЕТА ЛЬВА АБАЛКИНА;1 июня 78–го года
Что, по мнению группы Рэма Желтухина, они обнаружили в зоне своей высадки, и чем это вызвало его восторг?;86d2a526f833b839df430e66cbbf2910;ИЗ ОТЧЕТА ЛЬВА АБАЛКИНА;1 июня 78–го года
Какое необычное поведение демонстрирует Щекн во время движения по проспекту, и чем это отличается от экипировки других членов группы?;86d2a526f833b839df430e66cbbf2910;ИЗ ОТЧЕТА ЛЬВА АБАЛКИНА;1 июня 78–го года
Что привлекло внимание Щекна во время движения по проспекту, и с какой точки зрения он рассматривал обнаруженных существ?;86d2a526f833b839df430e66cbbf2910;ИЗ ОТЧЕТА ЛЬВА АБАЛКИНА;1 июня 78–го года
Какое устройство, обнаруженное исследователями, напоминало кабину ионного душа и было сильно наклонено из-за взрыва?;3a4c47318cc2de8205e70443568b04a7;Мне кажется он уже...;1 июня 78–го года
Что, по словам рассказчика, регулировали кабины, похожие на найденную, в Саракше?;3a4c47318cc2de8205e70443568b04a7;Мне кажется он уже...;1 июня 78–го года
Какую планету так сильно интересовала Щекна, что он всеми способами оттягивал свой отлет?;3a4c47318cc2de8205e70443568b04a7;Мне кажется он уже...;1 июня 78–го года
В чем особенность языка народа Щекна, затрудняющая понимание его истинных намерений?;3a4c47318cc2de8205e70443568b04a7;Мне кажется он уже...;1 июня 78–го года
Какое устройство использовал главный герой, чтобы обучить Щекна?;2eb572a38dc18a52201c96179419fb9d;Впереди справа от...;1 июня 78–го года
В каком квартале герои проходили, когда встретили пестрого безумца?;2eb572a38dc18a52201c96179419fb9d;Впереди справа от...;1 июня 78–го года
Что обнаружил Рэм Желтухин на своей свалке, о чем сообщил Вандерхузе?;2eb572a38dc18a52201c96179419fb9d;Впереди справа от...;1 июня 78–го года
Какие странные привычки были у Щекна, которые терпел главный герой?;2eb572a38dc18a52201c96179419fb9d;Впереди справа от...;1 июня 78–го года
Какую позу впервые принял Щекн во время маршрута, что заставило рассказчика забеспокоиться?;375ebbfff0713baf8a3f55d180dbf2be;Я круто оборачиваюсь. Но...;1 июня 78–го года
"Какую инструкцию, связанную с обнаружением разумной жизни, впиталась в Вандерхузе ""в плоть и кровь""?";375ebbfff0713baf8a3f55d180dbf2be;Я круто оборачиваюсь. Но...;1 июня 78–го года
Что, по мнению Вандерхузе, могло быть причиной засады и отвлекающего маневра Сумасшедшего паяца?;375ebbfff0713baf8a3f55d180dbf2be;Я круто оборачиваюсь. Но...;1 июня 78–го года
Каким оружием, находящимся под клапаном комбинезона, собирался воспользоваться рассказчик для защиты?;375ebbfff0713baf8a3f55d180dbf2be;Я круто оборачиваюсь. Но...;1 июня 78–го года
Какое наказание получили герои от Вандерхузе за произошедший инцидент на перекрестке?;fdb7d564eacb4b061e08052980f0bf06;Он медленно вразвалку...;1 июня 78–го года
Что, по мнению рассказчика, заставило живность исчезнуть с улицы в двадцать втором квартале?;fdb7d564eacb4b061e08052980f0bf06;Он медленно вразвалку...;1 июня 78–го года
Какой предмет носил с собой рассказчик и как он его использовал во время столкновения со стаей?;fdb7d564eacb4b061e08052980f0bf06;Он медленно вразвалку...;1 июня 78–го года
Какое неожиданное увлечение обнаружил рассказчик у Щекна спустя четыре года их знакомства?;fdb7d564eacb4b061e08052980f0bf06;Он медленно вразвалку...;1 июня 78–го года
"Какое прозвище, помимо ""голованов"", используют южные выродки для обозначения существ, подобных Щекну?";11d6c7587b6ef6ff437c86003f8f38e1;Он замолкает и перестает...;1 июня 78–го года
Что, по словам Щекна, есть у людей, чего нет и никогда не будет у его сородичей?;11d6c7587b6ef6ff437c86003f8f38e1;Он замолкает и перестает...;1 июня 78–го года
Что обнаружил рассказчик о павильоне, расположенном напротив дома с пробоинами?;11d6c7587b6ef6ff437c86003f8f38e1;Он замолкает и перестает...;1 июня 78–го года
Какой предмет, стоящий слева за углом, привлек внимание рассказчика и его спутника, когда они вышли на площадь?;11d6c7587b6ef6ff437c86003f8f38e1;Он замолкает и перестает...;1 июня 78–го года
Что, по мнению рассказчика, выплескивают на поверхность цивилизации в эпохи глобальных катастроф?;666e6781bd8280248b00fb00523ba6c0;Я принимаюсь диктовать...;1 июня 78–го года
Какие воспоминания мучают Щека, пока он сопровождает рассказчика?;666e6781bd8280248b00fb00523ba6c0;Я принимаюсь диктовать...;1 июня 78–го года
Какой приказ отдал Комов после получения сообщения от Эспады?;666e6781bd8280248b00fb00523ba6c0;Я принимаюсь диктовать...;1 июня 78–го года
В каком месте, согласно тексту, разворачиваются события, и как оно выглядело в момент прибытия Льва Абалкина?;bd6de65e0f57cb590594083389ba8e80;МАЙЯ ГЛУМОВА ПОДРУГА ЛЬВА АБАЛКИНА;2 июня 78–го года
Какие работники, помимо туристов, выражали недовольство закрытием музея, и чем было вызвано их негодование?;bd6de65e0f57cb590594083389ba8e80;МАЙЯ ГЛУМОВА ПОДРУГА ЛЬВА АБАЛКИНА;2 июня 78–го года
Каким образом кибернетические уборщики усугубляли суету перед главным входом в Музей внеземных культур?;bd6de65e0f57cb590594083389ba8e80;МАЙЯ ГЛУМОВА ПОДРУГА ЛЬВА АБАЛКИНА;2 июня 78–го года
Где именно в Музее внеземных культур Лев Абалкин искал Майю Тойвовну, и какие особенности этого места он отметил?;bd6de65e0f57cb590594083389ba8e80;МАЙЯ ГЛУМОВА ПОДРУГА ЛЬВА АБАЛКИНА;2 июня 78–го года
Какую должность занимал Максим Каммерер в организации КОМКОН–2?;a8cdce9b9437356ead111c907b7d3447;Она глядела на меня...;2 июня 78–го года
Что, по словам рассказчика, произошло с женщиной, когда он произнес имя Льва Абалкина?;a8cdce9b9437356ead111c907b7d3447;Она глядела на меня...;2 июня 78–го года
В каком месте происходила встреча Максима Каммерера с женщиной, и что, помимо мебели, находилось в этом помещении?;a8cdce9b9437356ead111c907b7d3447;Она глядела на меня...;2 июня 78–го года
Что, согласно рассказу, делал Лев Абалкин, чтобы выразить свою любовь к своей 'вещи'?;a8cdce9b9437356ead111c907b7d3447;Она глядела на меня...;2 июня 78–го года
Какой предмет, выточенный из кости, использовал персонаж для самоповреждения?;f74e998bfd7f293d03db5f321c299359;…У него было еще много...;2 июня 78–го года
Какое место упоминается в последнем письме персонажа, откуда он отправлял послания?;f74e998bfd7f293d03db5f321c299359;…У него было еще много...;2 июня 78–го года
С кем разговаривала героиня, пока встречалась с персонажем, о котором идет речь в тексте?;f74e998bfd7f293d03db5f321c299359;…У него было еще много...;2 июня 78–го года
Какое прозвище носил старый лось, с которым у персонажа был конфликт?;f74e998bfd7f293d03db5f321c299359;…У него было еще много...;2 июня 78–го года
Какую должность занимает Максим Каммерер, согласно его собственным словам?;c656f77193bcdae501e1905a8bc240ff;МАЙЯ ГЛУМОВА И ЖУРНАЛИСТ КАММЕРЕР;2 июня 78–го года
С кем, помимо Майи Глумовой, вел беседу журналист Каммерер в рамках сбора материала о Льве Абалкине?;c656f77193bcdae501e1905a8bc240ff;МАЙЯ ГЛУМОВА И ЖУРНАЛИСТ КАММЕРЕР;2 июня 78–го года
В какой организации, упомянутой в тексте, журналист Каммерер ранее успешно проводил исследования?;c656f77193bcdae501e1905a8bc240ff;МАЙЯ ГЛУМОВА И ЖУРНАЛИСТ КАММЕРЕР;2 июня 78–го года
Что, по мнению Майи Тойвовны, могло спровоцировать появление журналиста Каммерера, помимо интереса к Льву Абалкину?;c656f77193bcdae501e1905a8bc240ff;МАЙЯ ГЛУМОВА И ЖУРНАЛИСТ КАММЕРЕР;2 июня 78–го года
Какое место отдыха выбрал для отпуска главный объект, о котором говорил журналист Каммерер?;8eca598f070e267624fefe98b2235ec6;И он таки успокоил ее...;2 июня 78–го года
Что Майя Тойвовна сообщила Каммереру относительно возможности связи с объектом?;8eca598f070e267624fefe98b2235ec6;И он таки успокоил ее...;2 июня 78–го года
Какое устройство, упомянутое в тексте, не работает, что осложняет задачу журналиста Каммерера?;8eca598f070e267624fefe98b2235ec6;И он таки успокоил ее...;2 июня 78–го года
В каком году происходит действие, описанное во фрагменте текста, и как это указано в тексте?;8eca598f070e267624fefe98b2235ec6;И он таки успокоил ее...;2 июня 78–го года
В каком году происходит действие, описанное во фрагменте, и какое место является основным местом событий – «Осинушка» или озеро Велье?;df4b3bb14ba9cb6d3ebd4acc00fb8aa7;«ОСИНУШКА». ДОКТОР ГОАННЕК;2 июня 78–го года
Каким образом доктор Гоаннек описывает нынешний сезон на курорте «Осинушка» и сколько отдыхающих прибыло сюда с начала апреля?;df4b3bb14ba9cb6d3ebd4acc00fb8aa7;«ОСИНУШКА». ДОКТОР ГОАННЕК;2 июня 78–го года
Какие предметы и гаджеты упоминаются в описании избы доктора Гоаннека, указывающие на сочетание традиционного уклада и современных технологий?;df4b3bb14ba9cb6d3ebd4acc00fb8aa7;«ОСИНУШКА». ДОКТОР ГОАННЕК;2 июня 78–го года
Как отзывается доктор Гоаннек о популярности «Осинушки» в разные периоды времени и что, по его мнению, необходимо для хорошего отдыха?;df4b3bb14ba9cb6d3ebd4acc00fb8aa7;«ОСИНУШКА». ДОКТОР ГОАННЕК;2 июня 78–го года
Какова была профессия супружеской пары, посетившей местность в середине мая, и откуда они прибыли?;e3bdefff51715e1fbb604237d625dd2a;В середине мая здесь...;2 июня 78–го года
Что доктор Гоаннек мог поручиться своей бессонницей, пытаясь выяснить, как в «Осинушку» попал странный юноша?;e3bdefff51715e1fbb604237d625dd2a;В середине мая здесь...;2 июня 78–го года
Какое состояние здоровья испытывал юноша, обратившийся за помощью к доктору Гоаннеку, и как это повлияло на его самочувствие после обследования?;e3bdefff51715e1fbb604237d625dd2a;В середине мая здесь...;2 июня 78–го года
Какую роль в терапии, по мнению доктора Гоаннека, играют гости, прибывшие на глайдере, и на примере скольких случаев он это подтвердил?;e3bdefff51715e1fbb604237d625dd2a;В середине мая здесь...;2 июня 78–го года
Какое замечание, касающееся артиста, сделал турист Каммерер, вызвав негативную реакцию?;3b0330127dd786e6862bf8f9df22630c;Турист Каммерер бывший...;2 июня 78–го года
На каком транспорте покинул курорт артист, предчувствуя приезд туриста Каммерера?;3b0330127dd786e6862bf8f9df22630c;Турист Каммерер бывший...;2 июня 78–го года
Какой номер был у избы, в которой проживал неврастеник, и где она располагалась?;3b0330127dd786e6862bf8f9df22630c;Турист Каммерер бывший...;2 июня 78–го года
Куда доктор Гоаннек посоветовал направиться туристу Каммереру, а сам куда отправился после чая?;3b0330127dd786e6862bf8f9df22630c;Турист Каммерер бывший...;2 июня 78–го года
"Какое учреждение, согласно тексту, рассматривалось Львом Абалкиным как возможное место для обращения за медицинской помощью, помимо ""Осинушки""?";0d94bba4958760f3434ed657b14b3c4f;В ИЗБЕ НОМЕР ШЕСТЬ;2 июня 78–го года
Что, по мнению рассказчика, могло послужить причиной попадания Льва Абалкина в ИЗБЕ НОМЕР ШЕСТЬ?;0d94bba4958760f3434ed657b14b3c4f;В ИЗБЕ НОМЕР ШЕСТЬ;2 июня 78–го года
Какой предмет, найденный в гостиной Льва Абалкина, привлек внимание рассказчика из-за его необычного состояния и расположения?;0d94bba4958760f3434ed657b14b3c4f;В ИЗБЕ НОМЕР ШЕСТЬ;2 июня 78–го года
В связи с гибелью Тристана, что предположил рассказчик относительно людей, виновных в сложившейся ситуации с Львом Абалкиным?;0d94bba4958760f3434ed657b14b3c4f;В ИЗБЕ НОМЕР ШЕСТЬ;2 июня 78–го года
Какой предмет, найденный под столом, напомнил рассказчик историю Акутагавы?;6a638ed5b8d05029b585d5eba01c3f74;Все еще на корточках я...;2 июня 78–го года
На рисунках, обнаруженных в гостиной, были изображены строения, напоминающие архитектуру каких учебных заведений?;6a638ed5b8d05029b585d5eba01c3f74;Все еще на корточках я...;2 июня 78–го года
Какое выражение лица Майи Глумовой особенно поразило рассказчика на одном из портретов?;6a638ed5b8d05029b585d5eba01c3f74;Все еще на корточках я...;2 июня 78–го года
Кого из персонажей высмеял автор в своем рисунке, выполненном мастерски?;6a638ed5b8d05029b585d5eba01c3f74;Все еще на корточках я...;2 июня 78–го года
Какую организацию представлял себя рассказчик, предлагая Экселенцу новую легенду для встречи с Глумовой?;adc880b67c79da4455fb1cc04ea1ae52;НЕОЖИДАННАЯ РЕАКЦИЯ ЭКСЕЛЕНЦА;2 июня 78–го года
